position,D,ST,SS,SC,SD,BT,BS,BC,BD,Wgt
4,25.94,14.001,26.472,0.983,8.841,12.539,20.719,5.527,8.399,33.72972973
5,52.26,13.88,30.478,8.992,10.071,12.601,32.9,25.533,8.325,6832.102273
6,56.29,13.663,30.82,1.3,9.517,12.354,33.468,11.244,7.622,1351.871658
10,24.98,13.176,31.687,1.086,8.738,13.052,23.943,17.009,8.898,4085.923754
11,46.24,13.835,30.974,2.054,9.268,12.588,33.221,10.118,7.732,97.6
12,57.97,13.713,30.742,4.108,9.705,12.767,33.118,22.932,7.607,2277.392375
13,53.01,13.701,31.173,0.793,9.835,12.709,33.335,35.184,7.814,379.7142857
17,14.97,13.899,26.39,3.616,8.757,13.659,27.204,25.843,8.868,3416.86747
18,28.44,13.555,28.934,0.92,8.654,13.489,29.909,10.055,8.581,3416.86747
20,63,13.504,30.407,6.471,9.869,12.526,33.34,21.212,7.284,10
21,60.04,13.537,30.299,7.668,10.865,12.904,33.526,69.606,7.579,2250.514286
23,54.62,13.861,22.931,1.792,10.557,12.969,33.564,8.366,8.794,221.6
27,55.07,13.173,30.419,5.662,11.494,12.268,33.051,40.163,7.008,480
28,62.04,13.749,31.148,2.902,11.122,12.956,33.294,21.632,7.84,3170.322581
29,66.47,13.366,30.963,2.76,11.544,13.256,33.728,17.231,7.77,3244.81106
31,39.4,14.147,30.104,4.829,10.277,11.926,26.374,8.945,8.547,217.0909091
32,51.32,13.751,30.294,14.884,11.885,13.996,33.279,17.778,7.353,336
33,65.76,14.239,30.985,1.76,11.114,12.918,33.221,3.537,7.764,513
34,65.07,13.907,31.146,2.585,11.149,13.16,33.609,6.748,8.026,695.3142857
36,46.16,13.56,29.844,5.646,9.841,14.685,33.276,20.403,6.802,297.6
37,58.05,14.24,24.977,2.181,10.051,15.306,33.547,0.396,6.734,445.3548387
38,61.09,14.629,30.801,1.792,10.155,14.875,33.477,0.317,7.251,1787.4
42,61.56,14.447,31.369,2.228,9.719,15.659,33.658,0.476,6.6,19096.36364
43,66.6,13.76,30.244,2.181,10.285,15.564,33.69,0.817,6.799,785.4545455
44,15.83,13.507,29.137,1.192,9.226,12.041,29.42,1.754,9.042,1046.4
47,61.1,13.995,30.452,0.617,9.776,15.845,33.748,6.682,6.508,14145.6
48,65.26,13.953,30.193,1.658,10.374,15.702,33.682,0.26,6.755,1664.834915
49,23.8,15.134,29.95,0.706,9.073,12.195,31.705,0.932,7.925,2945.191202
50,53.16,14.154,30.501,0.466,9.681,15.482,33.447,0.459,7.063,483.5391705
51,60.09,13.98,30.928,1.528,10.154,16.692,33.949,0.308,6.545,5631.544355
52,65.95,14.484,31.096,3.564,10.339,16.649,28.464,6.723,6.808,10718.25
53,6.12,15.828,26.846,1.967,8.598,15.089,28.072,1.953,8.616,4523.625
